N_LINHA,N_CATEGORIA,N_PRODUTO,QTD_ITEM,V_VENDA,V_CUSTO_VENDA,V_PERC_MARGEM_T,CLASSIFICACAO
3,3,6,348.0,5354.4,60.0,0.4929,EB
1,1,1,24.0,147.36,2.3,0.6061,DB
1,2,4,6.0,50.29,2.3,0.5526,DB
2,2,2,2.0,15.67,2.3,0.5699,DB
1,4,6,210.0,2146.14,2.3,0.6435,CB
1,1,1,1194.0,7152.06,260.0,0.4283,EB
1,1,1,8.0,2197.92,2.3,0.578,CB
1,1,1,142.0,1033.76,2.3,0.0739,FA
1,1,1,36.0,306.0,2.3,0.2012,FA
3,3,6,55.0,408.58,2.3,0.3566,EA
1,1,1,36.0,306.0,2.3,0.2012,FA
1,1,1,36.0,306.0,2.3,0.2012,FA
1,1,1,100.0,728.0,2.3,0.073,FA
1,1,1,300.0,2754.0,60.0,0.6611,BB
3,3,3,57.0,544.16,2.3,0.3,EA
4,3,10,48.0,365.14,2.3,0.4776,EA
2,4,6,26.0,266.94,2.3,0.4487,EA
2,2,5,147.0,1507.05,2.3,0.6866,CB
1,1,1,36.0,306.0,2.3,0.2012,FA
2,2,2,36.0,386.94,2.3,0.3316,EA
3,3,6,53.0,364.6,2.3,0.3289,EA
1,1,2,696.0,1685.52,2.3,0.4558,EB
1,1,2,2400.0,5172.0,60.0,0.4605,EB
2,2,3,1320.0,4116.96,60.0,0.3908,EB
1,1,1,3000.0,8250.0,260.0,0.4566,EB
1,1,1,1512.0,2948.4,60.0,0.5347,BB
1,1,1,2000.0,2560.0,2.3,0.6281,BB
1,1,1,1200.0,2052.0,2.3,0.4915,EB
1,1,1,480.0,2160.0,2.3,0.5018,CB
2,2,3,780.0,3065.28,60.0,0.5409,BB
1,2,3,37.0,550.0,2.3,0.8744,DB
1,1,2,308.0,2704.0,60.0,0.5785,BB
1,1,1,180.0,1580.4,2.3,0.5595,CB
1,1,2,2.0,35.18,2.3,0.7209,DB
1,1,2,1200.0,3646.8,60.0,0.4837,EB
1,2,3,26.0,700.0,2.3,0.8651,DB
2,1,2,52.0,1065.16,2.3,0.7290000000000001,DB
1,1,3,4.0,24.86,2.3,0.5422,DB
1,1,2,8.0,135.2,2.3,0.8527,DB
2,2,7,1140.0,2730.6,60.0,0.6227,BB
1,1,2,200.0,8789.0,260.0,0.5729,AB
3,2,6,424.0,3003.84,60.0,0.1981,FB
1,1,2,8.0,135.2,2.3,0.8527,DB
1,1,2,600.0,3450.0,60.0,0.5315,BB
1,1,2,36.0,523.72,2.3,0.8958,DB
1,1,2,1012.0,5178.36,60.0,0.5649,AB
1,1,1,1008.0,2197.44,2.3,0.6009,CB
1,2,4,108.0,2051.88,2.3,0.5842,CB
1,1,3,9.0,95.88,2.3,0.6164,DB
1,2,7,488.0,14388.3,260.0,0.6424,AB
2,2,7,768.0,8948.76,260.0,0.5464,AB
1,1,1,28.0,3026.8,60.0,0.5768,BB
1,1,2,2.0,21.46,2.3,0.2782,FA
1,1,2,5.0,50.42,2.3,0.35600000000000004,EA
3,3,10,38.0,504.26,2.3,0.6798,DA
1,1,1,2400.0,4104.0,60.0,0.478,EB
5,5,6,12.0,188.06,2.3,0.6651,DA
1,1,1,744.0,1629.36,2.3,0.6024,CB
1,1,2,936.0,2044.08,2.3,0.4697,EB
4,5,12,41.0,482.84,2.3,0.7509999999999999,DA
1,1,1,1400.0,7350.0,260.0,0.1683,FB
1,2,3,160.0,1555.0,2.3,0.7438,CB
1,2,5,210.0,2738.71,60.0,0.5916,BB
5,6,18,304.0,6421.9,60.0,0.6331,AA
1,1,1,2208.0,12055.68,260.0,0.5897,AB
1,1,2,250.0,1933.0,2.3,0.2126,FB
2,2,3,84.0,1504.08,2.3,0.6576,CB
1,1,2,70.0,1521.5,2.3,0.6608,CB
1,1,1,2200.0,726.0,2.3,0.4773,EA
1,1,1,600.0,6648.0,260.0,0.568,AB
2,2,9,774.0,7903.62,260.0,0.5071,AB
1,1,2,2.0,18.23,2.3,0.2896,FA
2,1,4,404.0,3443.0,60.0,0.5594,BB
1,2,5,598.0,7070.48,260.0,0.5462,AB
1,1,1,2400.0,4104.0,60.0,0.478,EB
2,2,3,820.0,2272.2,2.3,0.3992,EB
3,4,6,48.0,416.95,2.3,0.4059,EA
1,2,4,816.0,8863.56,260.0,0.6107,AB
1,3,3,12018.0,38572.69,1280.0,0.5029,AB
2,2,8,44.0,747.44,2.3,0.7475,DB
2,4,13,1428.0,13520.28,260.0,0.5837,AA
1,1,2,3216.0,7563.36,260.0,0.4291,EB
3,5,9,56.0,387.08,2.3,0.3518,EA
5,6,11,67.0,541.19,2.3,0.5056,DA
6,5,12,228.0,1661.46,2.3,0.5379999999999999,CA
4,5,8,53.0,417.93,2.3,0.5119,DA
2,3,14,1536.0,13788.96,260.0,0.6507,AA
4,4,6,77.0,951.66,2.3,0.4401,EA
4,5,10,68.0,401.48,2.3,0.4075,EA
5,6,11,56.0,577.15,2.3,0.5833,DA
4,5,10,68.0,474.99,2.3,0.3588,EA
5,6,11,96.0,1204.86,2.3,0.5920000000000001,DA
4,5,12,144.0,1522.29,2.3,0.4647,EB
5,7,11,43.0,566.39,2.3,0.684,DA
3,3,6,68.0,600.92,2.3,0.4097,EA
1,3,4,438.0,2603.7,2.3,0.5916,BB
3,4,6,34.0,589.32,2.3,0.7290000000000001,DA
3,3,4,276.0,1657.2,2.3,0.4932,EB
4,6,12,46.0,383.68,2.3,0.5313,DA
1,1,1,3000.0,10500.0,260.0,0.066,FB
1,1,1,2120.0,7420.0,260.0,0.0558,FB
3,5,11,41.0,368.86,2.3,0.7403,DA
5,7,15,98.0,1292.62,2.3,0.6323,DA
4,6,13,86.0,964.04,2.3,0.5742,DA
